Observations / Segmentation Variables,X1-Innovator,X2-Use Message,X3-Use Cell,X4-Use PIM,X5-Inf Passive,X6-Inf Active,X7-Remote Access,X8-Share Inf,X9-Monitor,X10-Email,X11-Web,X12-Mmedia,X13-Ergonomic,X14-Monthly,X15-Price,Z1-Age,Z2-Education,Z3-Income,Z4-Construction,Z5-Emergency,Z6-Sales,Z7-Service,Z8-Professional,Z9-Computers,Z10-PDA,Z11-Cell,Z12-PC,Z13-Away,Z14-Business Week,Z15-PC Magazine,Z16-Field & Stream,Z17-Mgourmet
1,4,1,5,7,4,6,3,1,4,5,5,6,4,15,280,48,3,47,0,0,0,0,0,0,1,1,1,3,0,0,0,0
2,5,4,7,5,6,5,6,5,4,7,3,6,1,15,310,43,3,89,0,0,0,1,0,0,0,1,1,3,1,0,0,0
3,3,5,5,6,3,4,7,6,4,4,4,6,3,35,370,48,2,24,0,0,0,0,0,1,1,1,1,6,0,0,0,0
4,3,1,6,7,5,7,3,4,4,4,7,5,5,15,390,28,3,52,0,0,1,0,0,0,1,1,1,7,0,0,0,0
5,4,1,6,7,7,5,5,5,2,7,5,5,4,25,410,54,3,84,0,0,0,0,0,1,1,1,1,2,1,0,0,0
6,5,3,5,7,3,7,4,6,5,6,7,6,3,40,250,62,2,46,0,0,1,0,0,0,0,1,1,4,0,0,0,0
7,5,5,5,6,6,4,3,3,4,6,5,7,4,20,310,53,3,71,0,0,1,0,0,0,0,0,1,6,0,0,0,0
8,3,1,5,5,6,5,4,3,4,7,4,7,1,15,230,48,2,39,0,0,1,0,0,0,0,1,1,3,0,0,0,0
9,6,5,5,7,3,7,1,3,2,6,4,6,3,15,240,46,3,87,0,0,0,0,1,0,0,1,1,4,0,0,0,0
10,2,2,7,5,4,5,5,4,6,4,6,5,3,25,290,59,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
11,4,5,7,6,5,7,2,2,6,7,6,6,4,20,230,53,3,76,0,0,1,0,0,0,1,1,1,4,0,0,0,0
12,4,3,5,6,7,3,3,5,4,7,6,5,6,15,160,21,3,63,0,0,1,0,0,0,0,1,1,6,0,0,0,0
13,4,4,5,7,7,7,4,1,7,7,3,6,4,30,100,54,3,53,0,1,0,0,0,0,0,1,1,4,1,0,0,0
14,3,3,5,5,5,6,2,7,2,4,6,6,3,20,210,41,3,81,0,0,1,0,0,0,0,1,1,4,0,0,0,0
15,3,6,7,6,5,4,3,3,3,6,7,5,4,30,180,22,2,45,1,0,0,0,0,0,1,1,1,6,0,0,0,0
16,4,2,7,7,3,6,4,1,5,6,6,5,4,25,260,37,2,38,0,0,1,0,0,0,0,1,1,5,1,0,0,0
17,3,4,7,7,7,6,4,3,3,7,7,7,5,25,320,22,3,77,0,0,1,0,0,0,1,1,1,5,0,1,0,0
18,4,3,6,7,3,5,4,2,7,7,4,6,2,30,150,51,2,81,0,0,1,0,0,0,0,1,1,5,0,0,0,0
19,4,2,5,6,7,5,3,1,2,4,7,2,4,25,330,54,2,26,0,0,1,0,0,0,1,1,1,1,1,0,0,0
20,3,5,5,5,4,7,3,3,2,7,5,5,4,25,290,30,2,67,0,0,1,0,0,0,0,0,1,6,0,0,0,0
21,4,5,6,7,2,6,3,3,3,6,5,5,5,20,260,57,2,65,0,0,1,0,0,0,0,0,1,3,0,0,0,0
22,4,2,5,5,3,4,3,5,6,4,5,4,2,35,290,40,2,74,0,0,1,0,0,0,0,1,1,5,1,0,0,0
23,2,3,6,5,7,7,4,3,5,7,7,4,4,20,340,64,3,48,1,0,0,0,0,0,1,1,1,5,0,0,0,0
24,5,7,5,6,6,5,5,4,3,7,5,4,6,15,400,19,2,47,0,0,0,1,0,0,0,1,1,5,1,0,0,0
25,5,2,6,4,7,5,5,3,6,7,6,6,3,30,250,41,2,87,0,0,0,0,0,1,1,1,1,7,0,0,0,0
26,5,2,6,6,4,3,4,3,4,7,5,6,4,45,430,58,3,48,0,0,1,0,0,0,1,0,1,5,0,0,0,0
27,3,2,4,7,3,6,5,3,3,6,6,7,4,15,400,48,3,86,0,0,1,0,0,0,0,1,1,5,0,0,0,0
28,2,5,6,6,6,6,2,4,7,6,7,7,5,25,220,45,2,90,0,0,1,0,0,0,1,1,1,4,0,0,0,0
29,3,5,5,7,5,7,6,2,6,7,7,7,3,45,170,22,3,51,0,0,0,0,0,1,0,1,1,3,1,0,0,0
30,3,3,6,7,5,6,4,2,3,4,7,6,5,15,470,27,3,62,0,0,1,0,0,0,0,1,1,5,0,1,0,0
31,2,6,7,6,6,6,4,3,3,5,6,7,4,15,230,52,3,41,0,0,0,0,0,1,0,1,1,5,0,0,0,0
32,2,6,7,4,4,5,4,4,7,4,6,7,4,30,170,54,2,57,0,0,0,1,0,0,1,1,1,4,0,1,0,0
33,3,4,5,7,5,7,6,4,7,7,5,6,4,20,280,31,1,75,1,0,0,0,0,0,0,1,1,4,1,0,0,0
34,3,3,4,7,6,3,2,2,2,3,6,2,3,25,470,63,2,94,0,0,1,0,0,0,1,1,1,6,1,1,0,0
35,6,5,7,6,7,6,5,5,2,6,7,3,6,20,340,47,3,56,0,0,1,0,0,0,0,1,1,6,0,0,0,0
36,6,5,7,6,5,3,5,6,5,7,5,4,5,25,170,44,3,40,0,0,1,0,0,0,0,1,1,1,1,0,0,0
37,4,5,7,6,6,2,7,4,3,7,6,4,3,20,270,28,2,46,0,0,1,0,0,0,0,1,1,5,0,0,0,0
38,4,3,3,7,5,5,6,4,4,7,7,5,6,30,290,22,1,60,0,0,0,1,0,0,0,1,1,5,1,1,0,0
39,3,2,7,7,7,4,2,1,4,4,7,5,3,30,410,51,3,43,0,0,0,0,0,1,1,1,1,2,0,1,0,0
40,3,4,5,7,3,4,3,2,6,7,5,6,4,25,330,48,2,62,0,0,1,0,0,0,0,1,1,6,0,0,0,0
41,3,4,6,5,5,6,4,5,5,6,5,4,3,25,290,59,2,83,0,0,1,0,0,0,1,1,1,4,0,1,0,0
42,3,6,5,7,4,6,3,3,5,7,5,5,6,25,220,46,3,75,0,0,0,0,0,1,0,1,1,5,0,0,1,0
43,5,3,6,5,5,6,6,2,5,7,4,5,4,20,460,48,3,44,0,0,0,0,1,0,1,1,1,4,0,0,0,0
44,3,1,6,7,5,4,2,4,4,6,3,6,4,35,360,41,2,73,0,0,0,0,0,1,1,1,1,5,0,0,1,0
45,5,5,7,2,4,4,6,3,1,7,7,3,3,25,290,29,4,66,0,0,1,0,0,0,0,1,1,4,0,0,0,0
46,6,6,7,3,7,3,4,3,5,7,5,6,4,25,270,63,2,52,0,0,0,0,1,0,0,1,1,6,0,0,0,0
47,5,5,6,7,6,7,3,2,5,7,6,4,5,25,250,51,2,21,0,0,0,1,0,0,1,1,1,6,0,0,0,0
48,3,2,7,5,4,3,2,4,5,4,7,2,6,50,300,62,2,63,0,0,1,0,0,0,1,1,1,5,0,0,0,0
49,4,2,5,7,7,6,5,5,5,7,6,5,6,25,330,62,2,94,0,0,1,0,0,0,0,1,1,3,1,0,0,0
50,2,2,7,5,3,4,4,1,4,6,4,5,3,30,100,48,2,60,0,0,1,0,0,0,0,1,1,5,0,0,0,0
51,3,3,6,5,2,5,3,4,4,4,6,7,5,15,420,56,2,51,0,0,1,0,0,0,1,1,1,3,0,1,0,0
52,2,3,7,7,4,5,5,1,6,7,5,6,2,20,390,31,3,71,0,0,1,0,0,0,0,1,1,3,0,0,0,0
53,4,3,6,7,5,4,3,6,4,7,5,1,4,25,200,52,2,67,0,0,1,0,0,0,1,1,1,6,0,0,0,0
54,3,6,6,3,7,7,2,2,5,4,7,6,5,30,360,44,2,52,0,0,1,0,0,0,1,0,1,4,0,0,0,0
55,3,5,7,5,4,6,4,3,5,5,3,6,7,30,330,47,2,51,0,0,1,0,0,0,1,0,1,4,0,0,0,0
56,3,7,5,5,4,5,2,3,4,7,2,3,6,20,410,45,3,51,0,0,1,0,0,0,0,1,1,2,1,0,0,0
57,1,7,6,4,3,3,5,5,7,3,3,3,3,40,280,35,2,54,0,0,0,0,1,0,1,1,1,5,1,0,1,0
58,5,5,5,2,4,5,4,5,6,4,5,3,4,25,300,19,3,32,0,0,0,0,0,1,0,0,1,7,0,0,0,0
59,4,7,6,2,2,3,5,5,7,3,1,3,6,35,330,63,2,53,0,0,0,1,0,0,0,1,1,3,0,1,0,0
60,1,7,6,3,3,3,4,7,6,3,3,3,4,20,240,34,3,61,0,0,0,1,0,0,0,1,1,6,1,0,0,0
61,6,6,4,2,4,5,5,6,5,3,1,2,3,35,410,25,2,61,0,1,0,0,0,0,1,1,1,3,0,1,1,0
62,1,7,7,2,4,3,7,3,7,1,4,1,2,25,100,22,2,56,0,0,0,1,0,0,0,1,1,7,0,0,0,0
63,4,6,4,6,6,5,1,4,6,3,3,2,7,35,150,25,2,66,0,0,0,1,0,0,0,1,1,6,0,0,0,0
64,2,7,7,4,3,4,5,3,5,4,1,1,5,25,470,43,3,47,0,0,0,1,0,0,0,1,1,4,0,1,0,0
65,1,7,4,1,3,6,5,2,7,2,3,3,1,15,440,21,2,31,0,0,0,1,0,0,0,0,1,5,0,1,0,0
66,1,7,5,1,4,3,5,3,6,6,3,6,7,25,310,48,2,62,0,0,0,1,0,0,0,1,1,7,0,0,0,0
67,1,6,5,1,4,5,5,4,6,2,5,2,4,30,340,43,2,38,0,0,0,0,1,0,0,1,1,6,0,0,0,0
68,3,6,5,1,6,3,7,3,7,5,3,1,7,30,240,33,2,28,0,0,0,0,0,1,0,0,1,4,0,1,1,0
69,1,4,7,1,4,4,5,5,6,6,3,1,2,15,270,32,2,54,1,0,0,0,0,0,0,1,1,7,1,0,0,0
70,1,6,7,1,7,3,6,4,7,1,3,2,6,30,250,46,2,82,0,0,0,1,0,0,0,1,1,5,0,0,0,0
71,3,4,4,1,3,4,7,3,5,4,2,3,4,30,230,40,3,21,0,0,0,1,0,0,0,1,1,5,1,1,0,0
72,2,5,6,2,3,4,6,5,5,1,4,2,5,25,300,27,3,48,0,0,0,1,0,0,1,1,1,6,0,0,0,0
73,1,5,5,3,4,5,5,5,7,3,3,1,4,35,280,25,1,52,0,0,0,0,1,0,0,1,1,6,0,0,1,0
74,3,6,6,4,7,6,4,5,5,4,2,4,5,30,300,29,2,110,0,0,0,1,0,0,0,1,1,5,0,1,1,0
75,1,5,6,1,6,4,6,2,2,6,4,1,6,20,250,59,3,43,0,0,1,0,0,0,1,1,1,5,0,0,0,0
76,4,4,6,4,5,3,5,2,5,4,2,3,5,25,240,37,2,70,0,0,0,1,0,0,0,0,1,7,1,1,0,0
77,2,6,7,4,4,4,6,2,6,5,2,1,2,10,270,26,3,84,0,0,0,0,1,0,0,1,1,4,0,0,0,0
78,4,5,7,1,3,2,5,2,5,5,1,1,4,20,210,28,1,65,0,0,0,0,1,0,0,1,1,5,0,0,1,0
79,3,4,7,3,5,4,4,4,7,4,1,2,4,25,270,21,2,62,0,0,0,0,0,1,0,1,1,5,0,0,0,0
80,1,7,6,1,5,5,5,1,2,3,3,3,4,25,310,62,1,64,0,0,1,0,0,0,0,1,1,2,0,0,0,0
81,2,3,5,1,3,3,7,2,7,3,6,3,7,25,250,65,2,52,0,0,0,1,0,0,0,1,1,5,0,0,1,0
82,4,7,4,1,1,5,7,4,7,3,2,3,3,25,190,23,1,47,0,0,1,0,0,0,1,1,1,6,0,1,0,0
83,1,6,4,1,7,3,6,6,5,6,5,1,6,25,220,62,2,24,0,0,0,1,0,0,0,1,1,5,0,0,1,0
84,2,5,7,2,3,5,5,5,4,2,4,2,1,25,370,29,2,73,0,0,1,0,0,0,0,1,1,2,0,0,1,0
85,3,4,6,3,3,4,7,3,5,2,2,5,3,15,100,35,3,34,0,0,0,0,1,0,0,1,1,4,0,1,0,0
86,1,4,7,1,5,3,5,3,5,2,3,5,3,25,230,58,2,28,0,0,1,0,0,0,0,1,1,5,0,0,0,0
87,5,7,4,2,3,4,7,5,7,4,2,2,3,20,360,25,2,96,1,0,0,0,0,0,0,1,1,5,0,0,0,0
88,1,6,6,4,3,1,5,1,4,1,4,2,5,10,260,19,3,72,0,0,0,1,0,0,0,1,1,5,0,0,0,0
89,1,5,5,1,5,6,7,5,7,2,2,5,4,35,320,46,2,82,0,0,0,0,0,1,1,1,1,5,1,1,0,0
90,1,6,6,2,7,2,2,3,7,3,4,2,3,25,260,33,2,56,1,0,0,0,0,0,0,1,1,5,1,0,0,0
91,4,6,6,3,2,3,5,3,6,3,6,2,6,20,210,63,2,21,0,0,0,0,0,1,0,1,1,6,1,0,0,0
92,3,4,4,3,3,6,4,4,5,2,3,4,2,25,260,18,1,86,0,0,0,1,0,0,0,1,1,4,0,0,0,0
93,3,4,4,2,4,5,4,3,7,1,4,1,5,25,100,56,2,71,0,0,0,1,0,0,0,1,1,3,0,0,0,0
94,1,7,4,2,3,3,4,3,4,4,3,3,2,20,100,32,2,92,0,0,0,0,1,0,0,1,1,5,0,1,0,0
95,5,7,5,4,2,5,7,3,7,3,3,3,3,25,130,40,3,58,0,0,1,0,0,0,0,1,1,5,0,0,0,0
96,2,5,7,3,1,3,7,2,5,5,5,2,4,20,130,47,2,98,0,0,0,1,0,0,0,1,1,5,0,0,0,0
97,1,3,4,1,2,3,3,6,6,3,1,2,6,15,360,28,2,50,0,0,1,0,0,0,1,1,1,4,0,0,1,0
98,2,7,5,2,4,3,7,2,4,3,2,2,5,30,310,26,2,87,0,0,0,0,1,0,0,1,1,6,0,0,0,0
99,4,6,5,1,3,3,6,5,4,3,1,1,1,35,370,28,2,64,0,0,1,0,0,0,0,1,1,7,0,1,1,0
100,3,7,5,1,3,1,6,3,5,2,2,1,1,25,380,36,3,49,0,0,1,0,0,0,0,1,1,4,0,1,0,0
101,4,7,5,1,6,4,6,4,7,3,4,1,7,30,340,22,3,37,0,0,0,1,0,0,0,1,1,5,0,0,0,0
102,3,5,4,6,3,5,4,4,5,3,5,3,4,25,340,34,1,67,0,0,1,0,0,0,0,1,1,4,0,0,0,0
103,1,4,4,1,3,3,3,4,5,2,4,1,4,30,330,39,3,92,0,0,0,0,0,1,0,1,1,5,0,0,0,0
104,2,4,6,3,4,4,4,5,5,2,4,1,3,20,220,25,2,83,0,0,0,1,0,0,0,1,1,4,0,0,1,0
105,4,4,5,2,3,5,1,2,3,5,4,5,7,30,460,57,4,94,0,0,0,0,0,1,0,1,1,1,1,1,0,0
106,6,3,7,4,4,2,1,3,4,7,7,6,7,25,480,45,3,84,0,0,0,0,0,1,1,0,1,4,0,0,0,0
107,4,3,6,4,4,6,3,4,4,5,7,4,4,25,350,20,3,70,0,0,0,0,0,1,1,1,1,1,1,0,0,0
108,5,6,7,1,1,6,2,3,4,6,4,6,7,40,460,63,4,120,0,0,0,0,0,1,1,1,1,1,0,1,0,0
109,2,1,5,4,6,2,2,3,5,7,7,5,4,35,270,44,4,109,0,0,0,0,1,0,0,0,1,2,1,0,0,0
110,4,3,6,5,5,2,1,4,4,4,7,4,6,30,380,28,3,89,0,0,0,0,1,0,1,1,1,1,0,0,0,0
111,5,3,7,4,5,2,3,2,4,5,7,5,7,25,390,42,3,70,0,0,0,0,0,1,1,1,1,3,1,0,0,0
112,6,5,7,4,5,3,1,4,4,6,5,5,7,20,370,34,4,82,0,1,0,0,0,0,1,1,1,2,1,0,0,1
113,5,3,5,3,3,2,4,3,2,5,7,7,7,30,390,54,4,93,0,0,0,0,1,0,1,1,1,2,1,0,0,0
114,6,6,7,5,3,4,6,5,4,4,7,4,4,35,410,19,3,86,0,0,0,0,1,0,1,1,1,2,1,0,0,0
115,5,4,6,4,4,1,2,2,5,6,4,6,5,25,430,18,3,92,0,0,0,0,0,1,1,1,1,2,0,1,0,1
116,5,1,7,5,3,3,1,2,7,5,6,4,6,25,340,50,4,108,0,0,0,0,0,1,1,1,1,2,0,1,0,0
117,5,4,7,5,4,5,1,4,5,7,7,4,5,25,390,26,3,121,0,0,0,0,1,0,1,1,1,1,0,0,0,0
118,5,4,6,5,5,5,3,5,6,6,5,3,6,30,420,52,3,68,0,0,0,0,1,0,1,1,1,2,0,1,0,0
119,5,3,6,4,5,2,4,3,5,7,6,3,7,20,370,61,3,93,0,0,0,0,0,1,1,1,1,3,0,1,0,0
120,6,2,4,2,2,3,5,3,7,6,7,5,6,35,320,56,3,86,0,0,0,1,0,0,1,1,1,4,1,0,0,0
121,5,5,3,3,2,5,3,3,7,7,5,3,6,35,360,43,3,103,0,0,0,0,0,1,1,1,1,3,0,1,0,0
122,7,4,5,7,2,4,4,5,6,5,7,7,7,15,380,38,3,81,0,0,1,0,0,0,1,1,1,4,1,1,0,0
123,6,3,5,5,5,2,1,7,4,5,6,3,7,30,620,45,2,69,0,0,0,0,1,0,0,1,1,5,1,0,0,0
124,6,3,7,2,4,4,1,2,3,6,7,6,5,35,390,45,3,85,0,0,0,0,1,0,1,1,1,4,0,1,0,0
125,3,4,7,4,3,4,1,2,4,7,5,7,6,35,420,25,3,58,0,0,0,0,0,1,1,1,1,3,1,0,0,0
126,4,4,7,3,4,6,3,2,3,4,5,6,7,30,420,19,4,88,0,0,0,0,1,0,1,1,1,3,0,0,0,0
127,4,2,7,4,3,2,2,3,4,4,7,6,7,20,410,21,3,90,0,0,0,0,1,0,1,1,1,3,0,0,0,0
128,3,7,5,3,5,5,1,6,4,5,4,5,4,35,250,51,4,122,0,0,0,0,0,1,1,1,1,2,0,1,0,0
129,4,3,6,3,3,4,2,1,5,5,6,6,5,30,400,21,3,74,0,0,0,0,0,1,1,1,1,2,0,1,0,0
130,4,1,5,2,1,6,1,3,5,5,6,5,4,30,450,28,3,93,0,0,0,0,1,0,1,1,1,2,0,0,0,0
131,6,5,6,6,5,4,2,2,7,7,7,7,6,30,420,34,4,96,1,0,0,0,0,0,1,0,1,2,1,0,0,0
132,4,1,6,7,3,5,1,1,6,5,7,6,6,40,420,27,4,117,0,0,0,0,0,1,1,1,1,4,1,1,0,0
133,5,3,7,5,4,4,3,5,5,4,5,4,5,40,290,32,4,97,0,0,0,0,1,0,1,1,1,2,1,1,0,1
134,5,4,3,3,5,3,2,5,5,6,7,7,6,25,330,43,3,108,0,0,0,0,0,1,0,1,1,1,0,0,0,0
135,5,5,6,6,6,4,1,5,4,7,6,4,5,35,200,22,3,80,0,0,0,0,0,1,1,1,1,5,1,0,0,0
136,6,5,7,3,4,3,1,2,4,5,6,5,6,45,370,46,3,97,0,0,1,0,0,0,1,1,1,2,1,0,0,0
137,6,3,4,3,4,5,2,3,5,7,6,6,5,25,580,23,3,97,1,0,0,0,0,0,1,0,1,2,0,0,1,0
138,7,6,7,4,1,1,1,5,2,5,7,6,6,45,480,28,4,79,0,0,0,0,0,1,1,1,1,3,1,0,0,0
139,6,4,6,5,5,4,4,1,3,6,7,5,7,45,310,48,2,93,0,0,0,0,1,0,1,1,1,3,0,0,0,0
140,6,4,6,4,6,2,4,4,3,7,5,6,5,40,400,34,3,83,0,0,0,0,0,1,1,1,1,1,1,0,0,0
141,5,3,4,2,4,2,1,5,6,4,7,7,4,30,420,21,3,89,0,0,0,0,1,0,1,1,1,4,1,0,0,0
142,5,4,5,3,4,4,4,1,3,6,7,5,5,45,450,28,3,104,0,0,0,0,0,1,0,1,1,2,1,0,0,0
143,5,5,6,2,5,6,1,4,2,6,4,7,5,45,430,45,4,70,0,0,0,0,1,0,1,1,1,2,1,0,0,0
144,6,4,4,4,1,3,1,3,3,5,4,4,7,35,510,39,3,90,0,0,1,0,0,0,1,1,1,1,1,0,0,0
145,1,3,6,2,7,6,4,6,2,4,1,2,7,50,410,29,2,75,0,0,0,0,0,1,0,1,1,4,0,0,0,0
146,3,2,5,3,6,6,7,5,3,2,1,5,5,55,450,53,2,62,0,0,0,0,0,1,0,1,0,4,0,1,1,0
147,4,4,6,5,7,4,7,7,5,3,1,1,4,40,790,46,2,30,1,0,0,0,0,0,0,1,1,5,0,0,0,0
148,4,2,5,5,7,5,6,7,7,4,1,3,7,55,440,28,2,51,0,0,0,1,0,0,1,1,0,6,0,0,0,0
149,2,4,5,3,7,7,7,6,5,1,1,1,7,40,400,61,3,66,0,1,0,0,0,0,0,0,1,7,0,0,1,0
150,2,3,2,4,4,6,7,7,7,2,1,1,7,30,450,54,3,52,1,0,0,0,0,0,0,0,1,7,0,0,0,0
151,2,4,4,2,7,7,5,4,5,5,2,4,4,50,590,43,2,68,0,0,0,0,0,1,0,1,1,4,0,0,0,0
152,3,2,3,2,5,7,4,7,5,3,1,1,3,45,460,64,1,43,0,1,0,0,0,0,0,0,1,6,0,1,1,0
153,1,3,5,3,7,6,7,7,5,3,3,2,6,40,530,31,2,46,0,0,0,1,0,0,1,1,1,5,0,0,0,0
154,3,5,6,1,6,7,4,5,4,2,2,3,5,45,510,53,2,52,0,0,0,0,0,1,1,1,1,5,0,1,0,0
155,1,3,5,7,5,4,4,7,6,2,1,1,6,45,420,28,2,55,1,0,0,0,0,0,0,1,1,6,0,0,0,0
156,4,2,3,3,7,7,5,4,6,1,1,1,7,45,500,62,1,67,1,0,0,0,0,0,0,0,1,6,0,0,0,0
157,1,5,3,1,7,7,1,7,5,4,4,1,4,55,520,30,2,25,0,0,1,0,0,0,0,1,0,6,0,1,0,0
158,1,2,3,1,4,7,4,6,4,3,1,1,6,50,390,23,1,73,0,1,0,0,0,0,0,0,1,5,0,0,0,0
159,2,3,4,3,6,7,7,6,6,4,1,3,5,40,460,27,2,31,1,0,0,0,0,0,0,1,1,7,0,0,1,0
160,1,4,4,4,6,7,6,7,5,3,1,1,5,40,490,43,2,43,0,0,0,0,0,1,0,0,1,3,0,0,1,0
